codigo,nombre,zona_codigo,direccion,lat,lng,geo_estado,ventana_inicio,ventana_fin,tiempo_servicio_min,contacto,telefono,ejecutivo,credito_bloqueado,zoho_account_id
C001,Supermercados El Rey · Vía España,CENTRO,Supermercado El Rey Vía España Panamá,8.9875,-79.5247,aproximada,,,25,Recepción / Almacén,+507 6431-3471,Gabriel Ruiz,False,zcrm_4870001
C002,Riba Smith · Bella Vista,CENTRO,"Riba Smith, Avenida Simón Bolívar, Urbanización Herbruger, El Carmen, Bella Vista, Distrito de Panamá, Provincia de Panamá, 0801, Panamá",8.998534,-79.525343,automatica,08:00,10:00,25,Recepción / Almacén,+507 6504-1791,Gabriel Ruiz,False,zcrm_4870002
C003,Farmacias Arrocha · Vía Argentina,CENTRO,"Farmacias Arrocha, Avenida Argentina, El Cangrejo, Bella Vista, Distrito de Panamá, Provincia de Panamá, 0807, Panamá",8.988177,-79.528687,automatica,,,15,Recepción / Almacén,+507 6174-9779,Sofía Lam,False,zcrm_4870003
C004,Hotel El Panamá,CENTRO,Hotel El Panamá Vía España,8.986,-79.524,aproximada,09:00,10:00,20,Recepción / Almacén,+507 6196-6991,Gabriel Ruiz,False,zcrm_4870004
C005,Pacífica Salud · Hospital Punta Pacífica,CENTRO,"Hospital Punta Pacífica, Boulevard Pacífica, Punta Pacífica, San Francisco, Distrito de Panamá, Provincia de Panamá, 0816, Panamá",8.981984,-79.510273,automatica,08:00,12:00,30,Recepción / Almacén,+507 6696-1950,Sofía Lam,False,zcrm_4870005
C006,Clínica Hospital San Fernando,CENTRO,"Clínica Hospital San Fernando, Calle 79 Oeste, La Loma, Pueblo Nuevo, Distrito de Panamá, Provincia de Panamá, 0801, Panamá",9.003638,-79.516689,automatica,08:00,11:00,30,Recepción / Almacén,+507 6619-4517,Sofía Lam,False,zcrm_4870006
C007,Hotel Riu Plaza Panamá,CENTRO,"Hotel Riu Plaza Panama, Calle 50 D Este, Marbella, Bella Vista, Distrito de Panamá, Provincia de Panamá, 7581, Panamá",8.981111,-79.521017,automatica,,,20,Recepción / Almacén,+507 6138-2408,Gabriel Ruiz,False,zcrm_4870007
C008,Restaurante Tinajas,CENTRO,"Tinajas, 22, Calle 51 Este, Marbella, Bella Vista, Distrito de Panamá, Provincia de Panamá, 0807, Panamá",8.979555,-79.52691,automatica,,,15,Recepción / Almacén,+507 6544-7851,Sofía Lam,False,zcrm_4870008
C009,Multiplaza Pacific Mall · Administración,CENTRO,Multiplaza Pacific Mall Panamá,8.98,-79.51,aproximada,13:00,16:00,20,Recepción / Almacén,+507 6171-4943,Gabriel Ruiz,False,zcrm_4870009
C010,Niko's Café · Calle 50,CENTRO,Niko's Café Calle 50 Panamá,8.984,-79.518,aproximada,,,10,Recepción / Almacén,+507 6192-7955,Sofía Lam,False,zcrm_4870010
